Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Baylor,4-2-0,66.7%,33.3%,9.4,3-1-0,75.0%,25.0%,17.8,2-1-0,66.7%,33.3%,-2.7,0-1-0,0.0%,100.0%,-16.5,3-1-0,75.0%,25.0%,+16.6,1-0-0,100.0%,0.0%,6.5,1-1-0,50.0%,50.0%,1.8,3-1-0,75.0%,25.0%,13.3,2-0-0,100.0%,0.0%,+11.5,0-1-0,0.0%,100.0%,-3.0,,,,,1-1-0,50.0%,50.0%,-7.3,,,,,2-0-0,100.0%,0.0%,+33.8
St. Thomas,4-2-0,66.7%,33.3%,2.4,2-1-0,66.7%,33.3%,2.0,1-0-0,100.0%,0.0%,+12.5,2-0-0,100.0%,0.0%,+8.5,2-2-0,50.0%,50.0%,-0.6,2-2-0,50.0%,50.0%,-0.6,2-2-0,50.0%,50.0%,-2.5,2-0-0,100.0%,0.0%,12.3,0-0-0,0.0%,0.0%,--,1-1-0,50.0%,50.0%,-7.0,1-1-0,50.0%,50.0%,-2.0,0-0-0,0.0%,0.0%,--,2-1-0,66.7%,33.3%,2.8,1-0-0,100.0%,0.0%,+20.0
Buffalo,4-2-0,66.7%,33.3%,4.6,1-0-0,100.0%,0.0%,18.5,2-0-0,100.0%,0.0%,+11.8,1-2-0,33.3%,66.7%,-3.3,2-0-0,100.0%,0.0%,+9.5,3-0-0,100.0%,0.0%,13.0,3-1-0,75.0%,25.0%,6.6,1-1-0,50.0%,50.0%,0.5,1-2-0,33.3%,66.7%,-3.8,,,,,,,,,1-1-0,50.0%,50.0%,+1.3,2-1-0,66.7%,33.3%,2.2,2-2-0,50.0%,50.0%,+1.0
Louisiana,4-2-0,66.7%,33.3%,7.8,2-1-0,66.7%,33.3%,7.8,1-2-0,33.3%,66.7%,-3.3,4-0-0,100.0%,0.0%,+14.8,0-1-0,0.0%,100.0%,-3.5,0-1-0,0.0%,100.0%,-3.5,3-2-0,60.0%,40.0%,9.0,1-0-0,100.0%,0.0%,2.0,1-1-0,50.0%,50.0%,-3.3,1-0-0,100.0%,0.0%,+5.0,1-0-0,100.0%,0.0%,+27.0,1-1-0,50.0%,50.0%,-0.8,1-0-0,100.0%,0.0%,25.0,1-0-0,100.0%,0.0%,+25.0
NJIT,4-2-0,66.7%,33.3%,-3.4,1-1-0,50.0%,50.0%,-11.0,0-1-0,0.0%,100.0%,-29.0,4-1-0,80.0%,20.0%,+1.7,,,,,4-0-0,100.0%,0.0%,7.1,4-2-0,66.7%,33.3%,-3.4,,,,,0-2-0,0.0%,100.0%,-24.5,,,,,1-0-0,100.0%,0.0%,+5.5,1-1-0,50.0%,50.0%,-7.0,2-0-0,100.0%,0.0%,7.8,3-1-0,75.0%,25.0%,+0.8
St Fran (PA),4-2-0,66.7%,33.3%,-2.9,3-0-0,100.0%,0.0%,4.3,1-0-0,100.0%,0.0%,+7.5,1-2-0,33.3%,66.7%,-9.8,2-0-0,100.0%,0.0%,+2.3,4-2-0,66.7%,33.3%,-2.9,4-2-0,66.7%,33.3%,-2.9,,,,,0-0-0,0.0%,0.0%,--,,,,,1-1-0,50.0%,50.0%,-6.8,0-1-0,0.0%,100.0%,-17.0,1-1-0,50.0%,50.0%,-6.8,2-1-0,66.7%,33.3%,-3.8
California,4-2-0,66.7%,33.3%,6.4,1-1-0,50.0%,50.0%,2.5,1-1-0,50.0%,50.0%,+9.3,0-1-0,0.0%,100.0%,-16.5,3-1-0,75.0%,25.0%,+8.4,0-2-0,0.0%,100.0%,-9.8,0-2-0,0.0%,100.0%,-9.8,4-0-0,100.0%,0.0%,14.5,4-0-0,100.0%,0.0%,+14.5,,,,,,,,,1-1-0,50.0%,50.0%,+0.8,2-0-0,100.0%,0.0%,16.0,3-1-0,75.0%,25.0%,+5.0
NC-Asheville,2-1-2,66.7%,33.3%,5.9,0-0-2,0.0%,0.0%,0.0,1-0-2,100.0%,0.0%,+3.2,1-0-1,100.0%,0.0%,+4.8,1-1-0,50.0%,50.0%,+10.0,2-0-2,100.0%,0.0%,10.1,1-0-2,100.0%,0.0%,3.2,1-1-0,50.0%,50.0%,10.0,,,,,,,,,1-0-0,100.0%,0.0%,+31.0,1-1-0,50.0%,50.0%,-0.8,1-0-0,100.0%,0.0%,31.0,0-1-0,0.0%,100.0%,-11.0
Colorado St,3-2-0,60.0%,40.0%,4.3,2-2-0,50.0%,50.0%,3.3,1-1-0,50.0%,50.0%,+1.8,1-0-0,100.0%,0.0%,+8.5,2-1-0,66.7%,33.3%,+6.0,,,,,1-0-0,100.0%,0.0%,12.0,2-2-0,50.0%,50.0%,2.4,2-2-0,50.0%,50.0%,+2.4,,,,,,,,,1-0-0,100.0%,0.0%,+8.5,,,,,2-1-0,66.7%,33.3%,+6.0
F Dickinson,3-2-0,60.0%,40.0%,6.3,1-0-0,100.0%,0.0%,27.0,1-0-0,100.0%,0.0%,+27.0,1-1-0,50.0%,50.0%,+0.3,1-1-0,50.0%,50.0%,+2.0,2-2-0,50.0%,50.0%,4.6,3-2-0,60.0%,40.0%,6.3,,,,,1-0-0,100.0%,0.0%,+13.0,,,,,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,+13.0,1-2-0,33.3%,66.7%,-2.8,2-2-0,50.0%,50.0%,+1.1
Syracuse,3-2-0,60.0%,40.0%,8.0,2-1-0,66.7%,33.3%,-0.2,1-2-0,33.3%,66.7%,-3.2,1-0-0,100.0%,0.0%,+2.0,1-2-0,33.3%,66.7%,+7.2,,,,,1-1-0,50.0%,50.0%,-8.5,2-1-0,66.7%,33.3%,19.0,2-1-0,66.7%,33.3%,+19.0,1-0-0,100.0%,0.0%,+2.0,,,,,0-1-0,0.0%,100.0%,-7.0,1-0-0,100.0%,0.0%,47.5,1-0-0,100.0%,0.0%,+47.5
Cal St Nrdge,3-2-0,60.0%,40.0%,2.4,1-2-0,33.3%,66.7%,-1.7,1-1-0,50.0%,50.0%,-2.3,1-0-0,100.0%,0.0%,+18.5,2-1-0,66.7%,33.3%,+3.7,2-1-0,66.7%,33.3%,1.7,0-1-0,0.0%,100.0%,-17.5,3-1-0,75.0%,25.0%,7.4,0-0-0,0.0%,0.0%,--,0-1-0,0.0%,100.0%,-6.0,1-0-0,100.0%,0.0%,+18.5,1-0-0,100.0%,0.0%,+13.0,1-0-0,100.0%,0.0%,4.0,1-0-0,100.0%,0.0%,+4.0
Miami (OH),3-2-0,60.0%,40.0%,3.1,2-0-0,100.0%,0.0%,9.3,2-2-0,50.0%,50.0%,-0.4,1-1-0,50.0%,50.0%,+4.5,1-1-0,50.0%,50.0%,+2.5,2-0-0,100.0%,0.0%,6.0,2-0-0,100.0%,0.0%,6.0,1-2-0,33.3%,66.7%,1.2,1-1-0,50.0%,50.0%,+5.8,,,,,,,,,1-2-0,33.3%,66.7%,-1.0,,,,,1-0-0,100.0%,0.0%,+17.0
Sac State,3-2-0,60.0%,40.0%,-5.7,,,,,2-0-0,100.0%,0.0%,+13.8,2-1-0,66.7%,33.3%,+1.2,0-1-0,0.0%,100.0%,-38.5,1-2-0,33.3%,66.7%,-13.0,2-2-0,50.0%,50.0%,-8.8,1-0-0,100.0%,0.0%,6.5,2-0-0,100.0%,0.0%,+5.3,,,,,,,,,3-1-0,75.0%,25.0%,+2.5,0-1-0,0.0%,100.0%,-38.5,1-2-0,33.3%,66.7%,-18.7
W Michigan,3-2-0,60.0%,40.0%,-1.7,0-1-0,0.0%,100.0%,-25.0,0-1-0,0.0%,100.0%,-25.0,1-1-0,50.0%,50.0%,+7.5,2-0-0,100.0%,0.0%,+0.8,1-1-0,50.0%,50.0%,-12.0,2-1-0,66.7%,33.3%,-7.8,1-1-0,50.0%,50.0%,7.5,2-1-0,66.7%,33.3%,+5.2,,,,,1-0-0,100.0%,0.0%,+18.5,2-1-0,66.7%,33.3%,+5.3,1-0-0,100.0%,0.0%,0.5,2-1-0,66.7%,33.3%,-0.7
Gard-Webb,3-2-0,60.0%,40.0%,2.0,2-1-0,66.7%,33.3%,9.3,1-0-0,100.0%,0.0%,+2.5,2-0-0,100.0%,0.0%,+18.3,0-2-0,0.0%,100.0%,-14.5,2-2-0,50.0%,50.0%,0.3,2-2-0,50.0%,50.0%,0.3,1-0-0,100.0%,0.0%,9.0,1-0-0,100.0%,0.0%,+9.0,,,,,,,,,,,,,1-1-0,50.0%,50.0%,-9.0,2-2-0,50.0%,50.0%,+1.9
Bryant,3-2-0,60.0%,40.0%,2.3,1-0-0,100.0%,0.0%,29.5,0-1-0,0.0%,100.0%,-12.5,1-1-0,50.0%,50.0%,-3.5,2-1-0,66.7%,33.3%,+6.2,2-2-0,50.0%,50.0%,-4.5,1-0-0,100.0%,0.0%,5.5,2-2-0,50.0%,50.0%,1.5,1-0-0,100.0%,0.0%,+29.5,,,,,,,,,0-1-0,0.0%,100.0%,-12.5,2-1-0,66.7%,33.3%,-1.8,3-1-0,75.0%,25.0%,+6.0
Jacksonville,3-2-0,60.0%,40.0%,2.8,0-2-0,0.0%,100.0%,-12.5,2-0-0,100.0%,0.0%,+17.3,1-1-0,50.0%,50.0%,-4.0,2-1-0,66.7%,33.3%,+7.3,2-1-0,66.7%,33.3%,-1.8,2-1-0,66.7%,33.3%,-1.8,1-1-0,50.0%,50.0%,9.8,0-1-0,0.0%,100.0%,-12.5,,,,,,,,,3-0-0,100.0%,0.0%,+13.0,,,,,1-2-0,33.3%,66.7%,-6.8
Montana,3-2-0,60.0%,40.0%,1.1,1-2-0,33.3%,66.7%,-3.5,2-0-0,100.0%,0.0%,+17.3,2-0-0,100.0%,0.0%,+17.3,1-2-0,33.3%,66.7%,-9.7,2-1-0,66.7%,33.3%,3.0,2-1-0,66.7%,33.3%,3.0,1-1-0,50.0%,50.0%,-1.8,1-1-0,50.0%,50.0%,-1.8,0-1-0,0.0%,100.0%,-11.5,0-0-0,0.0%,0.0%,--,0-0-0,0.0%,0.0%,--,2-0-0,100.0%,0.0%,8.0,1-1-0,50.0%,50.0%,-8.8
Georgetown,3-2-0,60.0%,40.0%,-4.7,1-1-0,50.0%,50.0%,-5.0,2-0-0,100.0%,0.0%,+8.5,0-1-0,0.0%,100.0%,-12.5,2-1-0,66.7%,33.3%,-8.2,,,,,1-0-0,100.0%,0.0%,3.5,2-2-0,50.0%,50.0%,-6.8,3-2-0,60.0%,40.0%,-4.7,,,,,,,,,2-0-0,100.0%,0.0%,+8.5,0-1-0,0.0%,100.0%,-30.5,1-2-0,33.3%,66.7%,-13.5
Florida A&M,3-2-0,60.0%,40.0%,12.0,2-0-0,100.0%,0.0%,21.5,1-1-0,50.0%,50.0%,+2.8,2-2-0,50.0%,50.0%,+10.6,,,,,2-2-0,50.0%,50.0%,6.9,2-2-0,50.0%,50.0%,6.9,1-0-0,100.0%,0.0%,32.5,1-0-0,100.0%,0.0%,+32.5,,,,,,,,,1-2-0,33.3%,66.7%,+5.7,,,,,2-1-0,66.7%,33.3%,+18.2
S Mississippi,3-2-0,60.0%,40.0%,8.9,1-1-0,50.0%,50.0%,13.5,1-1-0,50.0%,50.0%,+11.3,1-1-0,50.0%,50.0%,-3.3,2-0-0,100.0%,0.0%,+26.3,2-1-0,66.7%,33.3%,13.0,3-1-0,75.0%,25.0%,11.5,0-1-0,0.0%,100.0%,-1.5,0-1-0,0.0%,100.0%,-1.5,1-0-0,100.0%,0.0%,+7.0,,,,,1-0-0,100.0%,0.0%,+24.0,1-1-0,50.0%,50.0%,-3.3,1-1-0,50.0%,50.0%,+7.5
Memphis,3-2-0,60.0%,40.0%,5.5,1-1-0,50.0%,50.0%,0.0,2-2-0,50.0%,50.0%,-5.0,,,,,2-2-0,50.0%,50.0%,+6.0,0-1-0,0.0%,100.0%,-3.5,1-2-0,33.3%,66.7%,7.2,2-0-0,100.0%,0.0%,3.0,2-0-0,100.0%,0.0%,+3.0,,,,,,,,,1-1-0,50.0%,50.0%,-10.0,1-0-0,100.0%,0.0%,47.5,1-0-0,100.0%,0.0%,+47.5
Auburn,3-2-0,60.0%,40.0%,4.2,1-0-0,100.0%,0.0%,18.5,2-1-0,66.7%,33.3%,+10.8,,,,,3-1-0,75.0%,25.0%,+6.8,,,,,1-0-0,100.0%,0.0%,1.5,2-2-0,50.0%,50.0%,4.9,1-2-0,33.3%,66.7%,+0.3,,,,,,,,,1-1-0,50.0%,50.0%,+7.0,1-1-0,50.0%,50.0%,-5.8,1-1-0,50.0%,50.0%,-5.8
W Illinois,3-2-0,60.0%,40.0%,-1.5,0-2-0,0.0%,100.0%,-16.0,1-1-0,50.0%,50.0%,-2.0,1-1-0,50.0%,50.0%,+3.0,2-0-0,100.0%,0.0%,+3.8,2-1-0,66.7%,33.3%,-4.5,2-1-0,66.7%,33.3%,-4.5,1-1-0,50.0%,50.0%,3.0,1-1-0,50.0%,50.0%,+3.0,,,,,1-0-0,100.0%,0.0%,+5.0,1-0-0,100.0%,0.0%,+17.0,2-0-0,100.0%,0.0%,3.8,1-1-0,50.0%,50.0%,-4.3
Rutgers,3-2-0,60.0%,40.0%,6.8,0-2-0,0.0%,100.0%,-2.8,2-1-0,66.7%,33.3%,+1.5,,,,,3-1-0,75.0%,25.0%,+9.5,0-1-0,0.0%,100.0%,-1.5,,,,,3-2-0,60.0%,40.0%,6.8,3-1-0,75.0%,25.0%,+8.9,,,,,,,,,3-0-0,100.0%,0.0%,+13.2,,,,,1-1-0,50.0%,50.0%,+14.8
Richmond,3-2-0,60.0%,40.0%,-2.2,1-1-0,50.0%,50.0%,-6.3,0-1-0,0.0%,100.0%,-14.5,2-1-0,66.7%,33.3%,-2.0,1-1-0,50.0%,50.0%,-2.5,1-1-0,50.0%,50.0%,-6.3,0-1-0,0.0%,100.0%,-28.5,3-1-0,75.0%,25.0%,4.4,2-0-0,100.0%,0.0%,+8.0,,,,,,,,,0-1-0,0.0%,100.0%,-14.5,2-0-0,100.0%,0.0%,8.0,3-1-0,75.0%,25.0%,+0.9
Charlotte,3-2-0,60.0%,40.0%,4.8,1-1-0,50.0%,50.0%,1.5,2-1-0,66.7%,33.3%,+11.8,0-1-0,0.0%,100.0%,-28.5,2-1-0,66.7%,33.3%,+7.0,1-0-0,100.0%,0.0%,31.0,1-0-0,100.0%,0.0%,31.0,2-2-0,50.0%,50.0%,-1.8,2-2-0,50.0%,50.0%,-1.8,,,,,,,,,2-1-0,66.7%,33.3%,+7.0,,,,,1-1-0,50.0%,50.0%,-5.8
Gonzaga,3-2-0,60.0%,40.0%,-1.8,1-0-0,100.0%,0.0%,6.5,3-0-0,100.0%,0.0%,+6.7,,,,,2-2-0,50.0%,50.0%,-3.9,0-1-0,0.0%,100.0%,-2.5,,,,,3-2-0,60.0%,40.0%,-1.8,3-1-0,75.0%,25.0%,-1.6,,,,,0-1-0,0.0%,100.0%,-26.5,1-0-0,100.0%,0.0%,+11.5,1-2-0,33.3%,66.7%,-9.0,0-1-0,0.0%,100.0%,-2.5
Marist,3-2-0,60.0%,40.0%,6.9,1-0-0,100.0%,0.0%,12.5,3-0-0,100.0%,0.0%,+23.3,1-0-0,100.0%,0.0%,+9.5,1-2-0,33.3%,66.7%,+4.2,2-0-0,100.0%,0.0%,11.0,2-0-0,100.0%,0.0%,11.0,1-2-0,33.3%,66.7%,4.2,1-2-0,33.3%,66.7%,+4.2,,,,,,,,,2-2-0,50.0%,50.0%,+5.5,,,,,0-2-0,0.0%,100.0%,-17.8
TX Southern,3-2-0,60.0%,40.0%,3.9,0-2-0,0.0%,100.0%,-8.0,2-1-0,66.7%,33.3%,+7.7,2-1-0,66.7%,33.3%,+5.3,1-0-0,100.0%,0.0%,+8.0,3-2-0,60.0%,40.0%,3.9,3-2-0,60.0%,40.0%,3.9,,,,,0-0-0,0.0%,0.0%,--,,,,,0-1-0,0.0%,100.0%,-11.5,2-0-0,100.0%,0.0%,+13.8,1-0-0,100.0%,0.0%,8.0,1-0-0,100.0%,0.0%,+8.0
Idaho St,3-2-0,60.0%,40.0%,-3.2,0-1-0,0.0%,100.0%,-41.5,1-1-0,50.0%,50.0%,-17.8,2-0-0,100.0%,0.0%,+15.3,1-1-0,50.0%,50.0%,-2.5,3-2-0,60.0%,40.0%,-3.2,3-2-0,60.0%,40.0%,-3.2,,,,,0-0-0,0.0%,0.0%,--,,,,,2-1-0,66.7%,33.3%,+6.5,1-0-0,100.0%,0.0%,+6.0,2-1-0,66.7%,33.3%,6.5,0-0-0,0.0%,0.0%,--
McNeese St,3-2-1,60.0%,40.0%,-3.2,2-1-0,66.7%,33.3%,1.8,1-0-1,100.0%,0.0%,+4.3,0-0-1,0.0%,0.0%,0.0,2-2-0,50.0%,50.0%,-6.9,0-1-0,0.0%,100.0%,-32.0,0-1-0,0.0%,100.0%,-32.0,3-1-1,75.0%,25.0%,2.6,0-0-1,0.0%,0.0%,0.0,0-1-0,0.0%,100.0%,-14.0,1-0-0,100.0%,0.0%,+11.0,0-1-1,0.0%,100.0%,-16.0,1-0-0,100.0%,0.0%,7.5,1-1-0,50.0%,50.0%,-12.3
San Jose St,3-2-1,60.0%,40.0%,-2.3,3-1-1,75.0%,25.0%,1.6,0-2-1,0.0%,100.0%,-14.3,3-0-1,100.0%,0.0%,+7.3,0-1-0,0.0%,100.0%,-22.0,2-0-0,100.0%,0.0%,12.8,2-1-1,66.7%,33.3%,0.9,1-1-0,50.0%,50.0%,-8.8,0-2-0,0.0%,100.0%,-21.5,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,+16.0,0-1-0,0.0%,100.0%,-22.0,,,,,2-0-0,100.0%,0.0%,+6.5
St Bonavent,3-2-0,60.0%,40.0%,-1.4,1-2-0,33.3%,66.7%,-5.2,1-1-0,50.0%,50.0%,+3.8,,,,,3-1-0,75.0%,25.0%,+2.6,2-0-0,100.0%,0.0%,14.0,,,,,3-2-0,60.0%,40.0%,-1.4,1-2-0,33.3%,66.7%,-11.7,,,,,,,,,1-0-0,100.0%,0.0%,+5.5,1-0-0,100.0%,0.0%,3.0,2-1-0,66.7%,33.3%,-4.8
Central Ark,3-2-0,60.0%,40.0%,3.0,0-2-0,0.0%,100.0%,-14.3,1-1-0,50.0%,50.0%,-8.3,3-0-0,100.0%,0.0%,+14.5,0-1-0,0.0%,100.0%,-11.0,1-2-0,33.3%,66.7%,-5.7,2-2-0,50.0%,50.0%,3.5,1-0-0,100.0%,0.0%,1.0,2-0-0,100.0%,0.0%,+16.0,,,,,1-0-0,100.0%,0.0%,+11.5,2-0-0,100.0%,0.0%,+16.0,1-0-0,100.0%,0.0%,11.5,1-1-0,50.0%,50.0%,+10.0
Tulsa,3-2-0,60.0%,40.0%,15.4,0-1-0,0.0%,100.0%,-22.5,1-0-0,100.0%,0.0%,+21.0,0-2-0,0.0%,100.0%,-13.8,3-0-0,100.0%,0.0%,+34.8,1-1-0,50.0%,50.0%,34.5,0-1-0,0.0%,100.0%,-5.0,3-1-0,75.0%,25.0%,20.5,2-1-0,66.7%,33.3%,+2.7,,,,,,,,,1-0-0,100.0%,0.0%,+21.0,2-1-0,66.7%,33.3%,26.2,2-2-0,50.0%,50.0%,+14.0
TN Tech,3-2-0,60.0%,40.0%,2.5,1-2-0,33.3%,66.7%,0.3,2-0-0,100.0%,0.0%,+13.0,1-0-0,100.0%,0.0%,+5.5,1-2-0,33.3%,66.7%,-4.3,2-0-0,100.0%,0.0%,12.8,2-1-0,66.7%,33.3%,4.5,1-1-0,50.0%,50.0%,-0.5,1-0-0,100.0%,0.0%,+6.0,0-1-0,0.0%,100.0%,-12.0,,,,,0-0-0,0.0%,0.0%,--,2-0-0,100.0%,0.0%,5.8,1-1-0,50.0%,50.0%,-0.8
Fresno St,3-2-0,60.0%,40.0%,-2.2,1-0-0,100.0%,0.0%,0.5,1-1-0,50.0%,50.0%,-6.0,1-1-0,50.0%,50.0%,+0.3,2-0-0,100.0%,0.0%,+13.5,2-1-0,66.7%,33.3%,2.2,2-1-0,66.7%,33.3%,2.2,1-1-0,50.0%,50.0%,-8.8,1-1-0,50.0%,50.0%,-8.8,,,,,,,,,2-1-0,66.7%,33.3%,+3.0,0-1-0,0.0%,100.0%,-20.5,2-1-0,66.7%,33.3%,+0.3
Navy,3-2-0,60.0%,40.0%,10.1,1-1-0,50.0%,50.0%,10.3,1-1-0,50.0%,50.0%,+1.5,2-1-0,66.7%,33.3%,+9.3,1-0-0,100.0%,0.0%,+30.5,0-1-0,0.0%,100.0%,-8.0,0-2-0,0.0%,100.0%,-9.8,3-0-0,100.0%,0.0%,23.3,3-1-0,75.0%,25.0%,+14.6,,,,,0-1-0,0.0%,100.0%,-11.5,2-0-0,100.0%,0.0%,+20.8,0-1-0,0.0%,100.0%,-11.5,2-0-0,100.0%,0.0%,+29.5
Mississippi,3-2-0,60.0%,40.0%,-2.1,2-2-0,50.0%,50.0%,-7.1,2-0-0,100.0%,0.0%,+9.3,,,,,2-2-0,50.0%,50.0%,-2.8,,,,,,,,,3-2-0,60.0%,40.0%,-2.1,2-2-0,50.0%,50.0%,-5.6,,,,,,,,,1-0-0,100.0%,0.0%,+18.0,,,,,1-2-0,33.3%,66.7%,-9.7
Lafayette,3-2-1,60.0%,40.0%,2.6,2-0-1,100.0%,0.0%,6.5,2-0-0,100.0%,0.0%,+9.8,2-2-0,50.0%,50.0%,+1.3,0-0-1,0.0%,0.0%,0.0,3-0-1,100.0%,0.0%,7.6,3-1-1,75.0%,25.0%,3.4,0-1-0,0.0%,100.0%,-1.5,0-2-0,0.0%,100.0%,-7.5,,,,,,,,,0-1-0,0.0%,100.0%,-1.5,1-1-0,50.0%,50.0%,-1.3,1-2-1,33.3%,66.7%,-1.0
Mt St Marys,3-2-0,60.0%,40.0%,2.2,1-1-0,50.0%,50.0%,-6.0,1-0-0,100.0%,0.0%,+37.0,2-0-0,100.0%,0.0%,+20.0,1-2-0,33.3%,66.7%,-9.7,2-1-0,66.7%,33.3%,8.3,2-1-0,66.7%,33.3%,8.3,1-1-0,50.0%,50.0%,-7.0,1-1-0,50.0%,50.0%,-7.0,,,,,,,,,1-0-0,100.0%,0.0%,+37.0,1-1-0,50.0%,50.0%,-7.0,2-2-0,50.0%,50.0%,-6.5
Grd Canyon,3-2-0,60.0%,40.0%,7.7,2-1-0,66.7%,33.3%,10.8,2-2-0,50.0%,50.0%,+4.9,1-1-0,50.0%,50.0%,+5.0,1-1-0,50.0%,50.0%,+0.3,,,,,,,,,3-2-0,60.0%,40.0%,7.7,2-2-0,50.0%,50.0%,+5.9,,,,,1-0-0,100.0%,0.0%,+19.0,1-1-0,50.0%,50.0%,+3.0,,,,,,,,
Lindenwood,3-2-0,60.0%,40.0%,1.7,2-1-0,66.7%,33.3%,1.7,2-0-0,100.0%,0.0%,+10.8,1-1-0,50.0%,50.0%,-4.3,1-1-0,50.0%,50.0%,+1.8,1-2-0,33.3%,66.7%,-4.2,3-2-0,60.0%,40.0%,1.7,,,,,0-0-0,0.0%,0.0%,--,0-1-0,0.0%,100.0%,-21.5,1-0-0,100.0%,0.0%,+13.0,1-0-0,100.0%,0.0%,+8.0,0-1-0,0.0%,100.0%,-4.5,0-1-0,0.0%,100.0%,-4.5
Mass Lowell,3-2-0,60.0%,40.0%,5.1,1-0-0,100.0%,0.0%,19.5,1-0-0,100.0%,0.0%,+2.0,0-1-0,0.0%,100.0%,-10.5,3-1-0,75.0%,25.0%,+9.0,1-1-0,50.0%,50.0%,-4.3,1-1-0,50.0%,50.0%,-4.3,2-1-0,66.7%,33.3%,11.3,2-1-0,66.7%,33.3%,+11.3,,,,,1-1-0,50.0%,50.0%,+3.5,1-0-0,100.0%,0.0%,+2.0,1-2-0,33.3%,66.7%,1.3,1-1-0,50.0%,50.0%,+8.3
VCU,4-3-0,57.1%,42.9%,-4.2,3-2-0,60.0%,40.0%,-0.3,2-1-0,66.7%,33.3%,-4.2,1-1-0,50.0%,50.0%,-6.3,2-2-0,50.0%,50.0%,-6.1,,,,,0-1-0,0.0%,100.0%,-13.5,4-2-0,66.7%,33.3%,-2.7,2-1-0,66.7%,33.3%,-6.8,0-1-0,0.0%,100.0%,-13.5,1-0-0,100.0%,0.0%,+1.0,0-1-0,0.0%,100.0%,-29.0,1-0-0,100.0%,0.0%,1.0,1-1-0,50.0%,50.0%,-2.3
Chicago St,4-3-0,57.1%,42.9%,-5.4,1-0-0,100.0%,0.0%,13.5,1-1-0,50.0%,50.0%,+1.3,3-3-0,50.0%,50.0%,-8.5,,,,,3-1-0,75.0%,25.0%,0.5,4-3-0,57.1%,42.9%,-5.4,,,,,1-1-0,50.0%,50.0%,-4.0,,,,,,,,,0-1-0,0.0%,100.0%,-29.5,3-2-0,60.0%,40.0%,-4.3,3-2-0,60.0%,40.0%,-8.0
N Alabama,4-3-0,57.1%,42.9%,4.0,1-1-0,50.0%,50.0%,-2.8,0-2-0,0.0%,100.0%,-9.8,1-1-0,50.0%,50.0%,+5.5,3-1-0,75.0%,25.0%,+6.9,1-2-0,33.3%,66.7%,-1.8,2-1-0,66.7%,33.3%,13.5,2-2-0,50.0%,50.0%,-3.1,3-0-0,100.0%,0.0%,+14.2,0-1-0,0.0%,100.0%,-15.0,,,,,2-1-0,66.7%,33.3%,+9.5,1-1-0,50.0%,50.0%,2.5,4-0-0,100.0%,0.0%,+15.6
Charl South,4-3-0,57.1%,42.9%,-2.8,2-1-0,66.7%,33.3%,5.3,1-0-0,100.0%,0.0%,+12.0,2-3-0,40.0%,60.0%,-7.0,1-0-0,100.0%,0.0%,+3.5,2-1-0,66.7%,33.3%,4.3,3-2-0,60.0%,40.0%,-3.7,1-1-0,50.0%,50.0%,-0.5,1-1-0,50.0%,50.0%,-16.3,0-1-0,0.0%,100.0%,-3.5,,,,,1-1-0,50.0%,50.0%,-16.3,1-1-0,50.0%,50.0%,-1.5,3-2-0,60.0%,40.0%,-5.6
Wofford,4-3-0,57.1%,42.9%,0.6,2-0-0,100.0%,0.0%,3.0,2-1-0,66.7%,33.3%,+10.8,2-2-0,50.0%,50.0%,-4.1,1-1-0,50.0%,50.0%,-3.3,1-3-0,25.0%,75.0%,-10.1,1-2-0,33.3%,66.7%,-11.3,2-1-0,66.7%,33.3%,3.7,1-0-0,100.0%,0.0%,+27.5,2-0-0,100.0%,0.0%,+3.0,,,,,2-1-0,66.7%,33.3%,+10.8,0-2-0,0.0%,100.0%,-17.0,0-2-0,0.0%,100.0%,-17.0
